# Global Carbon Budget 2018 — Global_Carbon_Budget_2018v1.0.xlsx  — Fossil Emissions by Fuel Type
#
# Fossil fuel and cement production emissions by fuel type
# All values in million tonnes of carbon per year (MtC/yr), except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# Methods:
# 1959-2014 estimates for fossil fuel combustion and cement are from the Carbon Dioxide Information Analysis Center (CDIAC) at Oak Ridge National Laboratory, adjusted with revised China statistics from 1990.  http://cdiac.ornl.gov/trends/emis/meth_reg.html
# 2015-2017 estimates are preliminary and are based on energy statistics published by BP (data in red in Columns B, C, D, E and H). https://www.bp.com/content/dam/bp/en/corporate/pdf/energy-economics/statistical-review/bp-15stats-review-2018-full-report.pdf
# Cement emissions are updated from Andrews (2018) https://www.earth-syst-sci-data.net/10/195/2018/
# and flaring is assumed to be constant since 2014 value (data in green in Column G).
# The uncertainty for the global estimates is about ±5 % for a ± 1 sigma confidence level.
# Cite as: Le Quéré et al (2018b; see summary tab) and Boden, T. A., Marland, G., and Andres, R. J.: Global, Regional, and National Fossil-Fuel CO2 Emissions, Oak Ridge National Laboratory, U.S. Department of Energy, Oak Ridge, Tenn., U.S.A., doi 10.3334/CDIAC/00001_V2017, 2017; available at: http://cdiac.ess-dive.lbl.gov/trends/emis/overview_2014.html
#
# MtC/yr
# Generated with openclimatedata 0.40.1 from the GCB Excel file 'Global_Carbon_Budget_2018v1.0.xlsx' from https://doi.org/10.18160/gcp-2018 
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Total,Coal,Oil,Gas,Cement,Flaring,Per Capita
1989,6046.489009209611,2428.0,2459.0,982.0,136.4890092096124,41,1.1537482574908033
1990,6053.986726814847,2359.0,2492.0,1026.0,136.98672681484769,40,1.135631389122789
1991,6121.5549743438305,2284.0,2601.0,1051.0,140.5549743438301,45,1.129696891279741
1992,6057.616029068111,2290.0,2499.0,1085.0,146.61602906811257,36,1.100504099373029
1993,6046.163511939712,2225.0,2515.0,1117.0,152.16351193971406,37,1.081972244262345
1994,6150.063583272719,2278.0,2539.0,1133.0,162.0635832727189,39,1.0846061431102203
1995,6279.319153047652,2359.0,2560.0,1151.0,171.3191530476516,39,1.091775551601037
1996,6420.027048712118,2382.0,2626.0,1198.0,175.0270487121164,40,1.1009097946595678
1997,6527.109553392247,2409.0,2701.0,1197.0,180.1095533922476,40,1.1043120451781088
1998,6546.120058852035,2343.0,2763.0,1224.0,179.12005885203726,36,1.093051974665517
1999,6531.266776230105,2310.0,2741.0,1258.0,187.2667762301046,35,1.0765468165529755
2000,6702.699531507487,2327.0,2845.0,1289.0,195.6995315074883,46,1.090755395967132
2001,6860.807775047344,2445.0,2848.0,1316.0,204.807775047343,47,1.1024189947355474
2002,6958.02143965997,2518.0,2832.0,1342.0,216.0214396599711,49,1.1040711246526418
2003,7332.625103862464,2695.0,2958.0,1397.0,232.62510386246274,48,1.1490605160710199
2004,7693.121980142023,2906.0,3043.0,1443.0,248.121980142023,54,1.190633093329185
2005,7984.4176721357935,3108.0,3068.0,1485.0,262.4176721357949,60,1.2204560000301345
2006,8266.057965499298,3293.0,3091.0,1534.0,286.05796549930017,62,1.2479238765848304
2007,8427.987253249396,3422.0,3071.0,1562.0,306.98725324939846,66,1.256704623544723
2008,8699.71501002849,3587.0,3103.0,1630.0,311.7150100284946,69,1.2812972169253252
2009,8603.47788577261,3590.0,3042.0,1584.0,321.4778857726084,66,1.2516441655546557
2010,9024.741051393075,3812.0,3107.0,1696.0,342.7410513930738,67,1.2969993751474238
2011,9377.010349375092,4055.0,3134.0,1756.0,368.0103493750956,64,1.3313927187330978
2012,9530.373556148399,4106.0,3200.0,1783.0,376.37355614840106,65,1.337000139454086
2013,9609.139186247092,4126.0,3220.0,1806.0,390.1391862470934,68,1.3321185500661554
2014,9690.454977986783,4117.0,3280.0,1823.0,403.45497798678394,68,1.3277409519758956
2015,9678.697253424327,4013.4268784047413,3340.5364966996394,1863.4989345367492,393.23494378319816,68,1.310942122567358
2016,9736.653777100066,3950.584712700102,3401.4129643056403,1917.1344556992785,399.5216443950446,68,1.3039641562474522
2017,9867.156562529604,3977.706702428255,3449.5708101098107,1968.7418881406384,403.1371618509,68,1.3068627857598136
