Code,Year,Emissions,Source
AIA,1985,,CDIAC
AIA,1986,,CDIAC
AIA,1987,,CDIAC
AIA,1988,,CDIAC
AIA,1989,,CDIAC
AIA,1990,0.014,CDIAC
AIA,1991,0.014,CDIAC
AIA,1992,0.015,CDIAC
AIA,1993,0.018,CDIAC
AIA,1994,0.018,CDIAC
AIA,1995,0.018,CDIAC
AIA,1996,0.019,CDIAC
AIA,1997,0.019,CDIAC
AIA,1998,0.021,CDIAC
AIA,1999,0.022,CDIAC
AIA,2000,0.024,CDIAC
AIA,2001,0.026,CDIAC
AIA,2002,0.026,CDIAC
AIA,2003,0.028,CDIAC
AIA,2004,0.033,CDIAC
AIA,2005,0.035,CDIAC
AIA,2006,0.039,CDIAC
AIA,2007,0.041,CDIAC
AIA,2008,0.041,CDIAC
AIA,2009,0.040,CDIAC
AIA,2010,0.041,CDIAC
AIA,2011,0.039,CDIAC
AIA,2012,0.039,CDIAC
AIA,2013,0.032,CDIAC
AIA,2014,0.038,CDIAC
AIA,2015,0.042,CDIAC
AIA,2016,0.042,CDIAC
AIA,2017,0.042,BP
AIA,2018,0.043,BP
ALB,1959,0.394,CDIAC
ALB,1960,0.552,CDIAC
ALB,1961,0.622,CDIAC
ALB,1962,0.672,CDIAC
ALB,1963,0.568,CDIAC
ALB,1964,0.550,CDIAC
ALB,1965,0.593,CDIAC
ALB,1966,0.696,CDIAC
ALB,1967,0.731,CDIAC
ALB,1968,0.838,CDIAC
ALB,1969,0.885,CDIAC
ALB,1970,1.021,CDIAC
ALB,1971,1.187,CDIAC
ALB,1972,1.539,CDIAC
ALB,1973,1.443,CDIAC
ALB,1974,1.185,CDIAC
ALB,1975,1.253,CDIAC
ALB,1976,1.350,CDIAC
ALB,1977,1.560,CDIAC
ALB,1978,1.771,CDIAC
ALB,1979,2.069,CDIAC
ALB,1980,1.410,CDIAC
ALB,1981,2.002,CDIAC
ALB,1982,1.993,CDIAC
ALB,1983,2.081,CDIAC
ALB,1984,2.134,CDIAC
ALB,1985,2.149,CDIAC
ALB,1986,2.197,CDIAC
ALB,1987,2.030,CDIAC
ALB,1988,1.998,CDIAC
ALB,1989,2.450,CDIAC
ALB,1990,1.504,CDIAC
ALB,1991,1.169,CDIAC
ALB,1992,0.686,CDIAC
ALB,1993,0.637,CDIAC
ALB,1994,0.525,CDIAC
ALB,1995,0.569,CDIAC
ALB,1996,0.550,CDIAC
ALB,1997,0.421,CDIAC
ALB,1998,0.478,CDIAC
ALB,1999,0.814,CDIAC
ALB,2000,0.824,CDIAC
ALB,2001,0.879,CDIAC
ALB,2002,1.023,CDIAC
ALB,2003,1.171,CDIAC
ALB,2004,1.136,CDIAC
ALB,2005,1.160,CDIAC
ALB,2006,1.063,CDIAC
ALB,2007,1.071,CDIAC
ALB,2008,1.193,CDIAC
ALB,2009,1.194,CDIAC
ALB,2010,1.254,CDIAC
ALB,2011,1.429,CDIAC
ALB,2012,1.343,CDIAC
ALB,2013,1.340,CDIAC
ALB,2014,1.497,CDIAC
ALB,2015,1.259,CDIAC
ALB,2016,1.237,CDIAC
ALB,2017,1.269,BP
ALB,2018,1.247,BP
AND,1959,,CDIAC
AND,1960,,CDIAC
AND,1961,,CDIAC
AND,1962,,CDIAC
AND,1963,,CDIAC
AND,1964,,CDIAC
AND,1965,,CDIAC
AND,1966,,CDIAC
AND,1967,,CDIAC
AND,1968,,CDIAC
AND,1969,,CDIAC
AND,1970,,CDIAC
AND,1971,,CDIAC
AND,1972,,CDIAC
AND,1973,,CDIAC
AND,1974,,CDIAC
AND,1975,,CDIAC
AND,1976,,CDIAC
AND,1977,,CDIAC
AND,1978,,CDIAC
AND,1979,,CDIAC
AND,1980,,CDIAC
AND,1981,,CDIAC
AND,1982,,CDIAC
AND,1983,,CDIAC
AND,1984,,CDIAC
AND,1985,,CDIAC
AND,1986,,CDIAC
AND,1987,,CDIAC
AND,1988,,CDIAC
AND,1989,,CDIAC
AND,1990,0.111,CDIAC
AND,1991,0.111,CDIAC
AND,1992,0.111,CDIAC
AND,1993,0.112,CDIAC
AND,1994,0.111,CDIAC
AND,1995,0.116,CDIAC
AND,1996,0.124,CDIAC
AND,1997,0.127,CDIAC
AND,1998,0.134,CDIAC
AND,1999,0.140,CDIAC
AND,2000,0.143,CDIAC
AND,2001,0.143,CDIAC
AND,2002,0.145,CDIAC
AND,2003,0.146,CDIAC
AND,2004,0.153,CDIAC
AND,2005,0.157,CDIAC
AND,2006,0.149,CDIAC
AND,2007,0.147,CDIAC
AND,2008,0.147,CDIAC
AND,2009,0.141,CDIAC
AND,2010,0.141,CDIAC
AND,2011,0.134,CDIAC
AND,2012,0.133,CDIAC
AND,2013,0.130,CDIAC
AND,2014,0.126,CDIAC
AND,2015,0.127,CDIAC
AND,2016,0.128,CDIAC
AND,2017,0.132,BP
AND,2018,0.129,BP
ARE,1959,0.003,CDIAC
ARE,1960,0.003,CDIAC
ARE,1961,0.003,CDIAC
ARE,1962,0.005,CDIAC
ARE,1963,0.006,CDIAC
ARE,1964,0.005,CDIAC
ARE,1965,0.006,CDIAC
ARE,1966,0.007,CDIAC
ARE,1967,0.250,CDIAC
ARE,1968,0.339,CDIAC
ARE,1969,5.597,CDIAC
ARE,1970,4.158,CDIAC
ARE,1971,5.777,CDIAC
ARE,1972,6.396,CDIAC
ARE,1973,8.353,CDIAC
ARE,1974,8.543,CDIAC
ARE,1975,8.473,CDIAC
ARE,1976,10.813,CDIAC
ARE,1977,10.576,CDIAC
ARE,1978,12.214,CDIAC
ARE,1979,9.974,CDIAC
ARE,1980,10.050,CDIAC
ARE,1981,10.035,CDIAC
ARE,1982,10.031,CDIAC
ARE,1983,9.613,CDIAC
ARE,1984,12.597,CDIAC
ARE,1985,13.551,CDIAC
ARE,1986,12.836,CDIAC
ARE,1987,12.950,CDIAC
ARE,1988,13.127,CDIAC
ARE,1989,14.789,CDIAC
ARE,1990,14.111,CDIAC
ARE,1991,15.467,CDIAC
ARE,1992,15.764,CDIAC
ARE,1993,17.894,CDIAC
ARE,1994,19.816,CDIAC
ARE,1995,19.108,CDIAC
ARE,1996,19.862,CDIAC
ARE,1997,19.951,CDIAC
ARE,1998,22.020,CDIAC
ARE,1999,21.163,CDIAC
ARE,2000,30.510,CDIAC
ARE,2001,27.454,CDIAC
ARE,2002,22.843,CDIAC
ARE,2003,28.826,CDIAC
ARE,2004,30.514,CDIAC
ARE,2005,31.244,CDIAC
ARE,2006,33.225,CDIAC
ARE,2007,36.371,CDIAC
ARE,2008,42.022,CDIAC
ARE,2009,45.169,CDIAC
ARE,2010,42.570,CDIAC
ARE,2011,46.172,CDIAC
ARE,2012,59.322,CDIAC
ARE,2013,59.534,CDIAC
ARE,2014,60.856,CDIAC
ARE,2015,52.299,CDIAC
ARE,2016,55.451,CDIAC
ARE,2017,54.596,BP
ARE,2018,56.114,BP
ARG,1959,13.359,CDIAC
ARG,1960,13.309,CDIAC
ARG,1961,13.954,CDIAC
ARG,1962,14.640,CDIAC
ARG,1963,13.655,CDIAC
ARG,1964,15.194,CDIAC
ARG,1965,16.049,CDIAC
ARG,1966,17.214,CDIAC
ARG,1967,17.870,CDIAC
ARG,1968,18.834,CDIAC
ARG,1969,21.083,CDIAC
ARG,1970,22.557,CDIAC
ARG,1971,24.248,CDIAC
ARG,1972,24.580,CDIAC
ARG,1973,25.646,CDIAC
ARG,1974,26.056,CDIAC
ARG,1975,25.882,CDIAC
ARG,1976,27.201,CDIAC
ARG,1977,27.470,CDIAC
ARG,1978,27.969,CDIAC
ARG,1979,30.161,CDIAC
ARG,1980,29.618,CDIAC
ARG,1981,27.789,CDIAC
ARG,1982,28.168,CDIAC
ARG,1983,28.651,CDIAC
ARG,1984,29.007,CDIAC
ARG,1985,27.393,CDIAC
ARG,1986,28.366,CDIAC
ARG,1987,31.280,CDIAC
ARG,1988,33.059,CDIAC
ARG,1989,31.878,CDIAC
ARG,1990,30.538,CDIAC
ARG,1991,31.890,CDIAC
ARG,1992,33.029,CDIAC
ARG,1993,32.086,CDIAC
ARG,1994,33.300,CDIAC
ARG,1995,34.825,CDIAC
ARG,1996,36.748,CDIAC
ARG,1997,37.543,CDIAC
ARG,1998,38.033,CDIAC
ARG,1999,39.986,CDIAC
ARG,2000,38.678,CDIAC
ARG,2001,36.384,CDIAC
ARG,2002,33.947,CDIAC
ARG,2003,36.741,CDIAC
ARG,2004,42.859,CDIAC
ARG,2005,44.057,CDIAC
ARG,2006,47.658,CDIAC
ARG,2007,47.553,CDIAC
ARG,2008,51.321,CDIAC
ARG,2009,48.818,CDIAC
ARG,2010,50.948,CDIAC
ARG,2011,51.921,CDIAC
ARG,2012,52.324,CDIAC
ARG,2013,52.477,CDIAC
ARG,2014,53.065,CDIAC
ARG,2015,54.547,CDIAC
ARG,2016,54.596,CDIAC
ARG,2017,54.463,BP
ARG,2018,53.366,BP
ARM,1959,1.888,CDIAC
ARM,1960,1.966,CDIAC
ARM,1961,2.028,CDIAC
ARM,1962,2.130,CDIAC
ARM,1963,2.286,CDIAC
ARM,1964,2.433,CDIAC
ARM,1965,2.581,CDIAC
ARM,1966,2.726,CDIAC
ARM,1967,2.852,CDIAC
ARM,1968,2.934,CDIAC
ARM,1969,3.057,CDIAC
ARM,1970,3.215,CDIAC
ARM,1971,3.415,CDIAC
ARM,1972,3.595,CDIAC
ARM,1973,3.750,CDIAC
ARM,1974,3.896,CDIAC
ARM,1975,4.098,CDIAC
ARM,1976,4.256,CDIAC
ARM,1977,4.401,CDIAC
ARM,1978,4.555,CDIAC
ARM,1979,4.593,CDIAC
ARM,1980,4.773,CDIAC
ARM,1981,4.686,CDIAC
ARM,1982,4.775,CDIAC
ARM,1983,4.844,CDIAC
ARM,1984,4.889,CDIAC
ARM,1985,5.270,CDIAC
ARM,1986,5.284,CDIAC
ARM,1987,5.262,CDIAC
ARM,1988,5.404,CDIAC
ARM,1989,5.285,CDIAC
ARM,1990,4.944,CDIAC
ARM,1991,5.136,CDIAC
ARM,1992,1.599,CDIAC
ARM,1993,0.702,CDIAC
ARM,1994,0.741,CDIAC
ARM,1995,0.937,CDIAC
ARM,1996,0.708,CDIAC
ARM,1997,0.891,CDIAC
ARM,1998,0.927,CDIAC
ARM,1999,0.832,CDIAC
ARM,2000,0.953,CDIAC
ARM,2001,0.964,CDIAC
ARM,2002,0.840,CDIAC
ARM,2003,0.943,CDIAC
ARM,2004,1.007,CDIAC
ARM,2005,1.194,CDIAC
ARM,2006,1.201,CDIAC
ARM,2007,1.392,CDIAC
ARM,2008,1.522,CDIAC
ARM,2009,1.191,CDIAC
ARM,2010,1.161,CDIAC
ARM,2011,1.356,CDIAC
ARM,2012,1.569,CDIAC
ARM,2013,1.511,CDIAC
ARM,2014,1.517,CDIAC
ARM,2015,1.319,CDIAC
ARM,2016,1.412,CDIAC
ARM,2017,1.366,BP
ARM,2018,1.520,BP
ATG,1959,0.008,CDIAC
ATG,1960,0.010,CDIAC
ATG,1961,0.013,CDIAC
ATG,1962,0.028,CDIAC
ATG,1963,0.023,CDIAC
ATG,1964,0.025,CDIAC
ATG,1965,0.041,CDIAC
ATG,1966,0.095,CDIAC
ATG,1967,0.154,CDIAC
ATG,1968,0.270,CDIAC
ATG,1969,0.343,CDIAC
ATG,1970,0.126,CDIAC
ATG,1971,0.116,CDIAC
ATG,1972,0.102,CDIAC
ATG,1973,0.090,CDIAC
ATG,1974,0.117,CDIAC
ATG,1975,0.193,CDIAC
ATG,1976,0.110,CDIAC
ATG,1977,0.127,CDIAC
ATG,1978,0.134,CDIAC
ATG,1979,0.111,CDIAC
ATG,1980,0.039,CDIAC
ATG,1981,0.029,CDIAC
ATG,1982,0.080,CDIAC
ATG,1983,0.023,CDIAC
ATG,1984,0.040,CDIAC
ATG,1985,0.068,CDIAC
ATG,1986,0.068,CDIAC
ATG,1987,0.075,CDIAC
ATG,1988,0.078,CDIAC
ATG,1989,0.078,CDIAC
ATG,1990,0.077,CDIAC
ATG,1991,0.073,CDIAC
ATG,1992,0.072,CDIAC
ATG,1993,0.074,CDIAC
ATG,1994,0.073,CDIAC
ATG,1995,0.075,CDIAC
ATG,1996,0.080,CDIAC
ATG,1997,0.084,CDIAC
ATG,1998,0.087,CDIAC
ATG,1999,0.090,CDIAC
ATG,2000,0.094,CDIAC
ATG,2001,0.095,CDIAC
ATG,2002,0.101,CDIAC
ATG,2003,0.110,CDIAC
ATG,2004,0.115,CDIAC
ATG,2005,0.117,CDIAC
ATG,2006,0.121,CDIAC
ATG,2007,0.128,CDIAC
ATG,2008,0.131,CDIAC
ATG,2009,0.139,CDIAC
ATG,2010,0.143,CDIAC
ATG,2011,0.140,CDIAC
ATG,2012,0.143,CDIAC
ATG,2013,0.143,CDIAC
ATG,2014,0.144,CDIAC
ATG,2015,0.149,CDIAC
ATG,2016,0.152,CDIAC
ATG,2017,0.153,BP
ATG,2018,0.154,BP
AUS,1959,22.846,CDIAC
AUS,1960,24.050,CDIAC
AUS,1961,24.701,CDIAC
AUS,1962,25.880,CDIAC
AUS,1963,27.548,CDIAC
AUS,1964,29.715,CDIAC
AUS,1965,32.984,CDIAC
AUS,1966,32.811,CDIAC
AUS,1967,35.247,CDIAC
AUS,1968,36.708,CDIAC
AUS,1969,38.789,CDIAC
AUS,1970,40.251,CDIAC
AUS,1971,41.657,CDIAC
AUS,1972,42.941,CDIAC
AUS,1973,46.623,CDIAC
AUS,1974,46.995,CDIAC
AUS,1975,47.957,CDIAC
AUS,1976,47.509,CDIAC
AUS,1977,51.202,CDIAC
AUS,1978,55.082,CDIAC
AUS,1979,55.914,CDIAC
AUS,1980,60.189,CDIAC
AUS,1981,62.809,CDIAC
AUS,1982,63.834,CDIAC
AUS,1983,61.350,CDIAC
AUS,1984,64.509,CDIAC
AUS,1985,65.772,CDIAC
AUS,1986,65.426,CDIAC
AUS,1987,69.828,CDIAC
AUS,1988,71.201,CDIAC
AUS,1989,75.733,CDIAC
AUS,1990,75.989,UNFCCC
AUS,1991,76.384,UNFCCC
AUS,1992,77.760,UNFCCC
AUS,1993,78.940,UNFCCC
AUS,1994,80.244,UNFCCC
AUS,1995,83.354,UNFCCC
AUS,1996,85.251,UNFCCC
AUS,1997,87.553,UNFCCC
AUS,1998,91.344,UNFCCC
AUS,1999,93.904,UNFCCC
AUS,2000,95.577,UNFCCC
AUS,2001,97.617,UNFCCC
AUS,2002,98.856,UNFCCC
AUS,2003,100.908,UNFCCC
AUS,2004,104.586,UNFCCC
AUS,2005,105.490,UNFCCC
AUS,2006,107.173,UNFCCC
AUS,2007,109.284,UNFCCC
AUS,2008,110.548,UNFCCC
AUS,2009,111.448,UNFCCC
AUS,2010,110.924,UNFCCC
AUS,2011,110.334,UNFCCC
AUS,2012,111.077,UNFCCC
AUS,2013,108.639,UNFCCC
AUS,2014,107.339,UNFCCC
AUS,2015,109.863,UNFCCC
AUS,2016,112.761,UNFCCC
AUS,2017,113.821,UNFCCC
AUS,2018,114.689,BP
AUT,1959,7.617,CDIAC
AUT,1960,8.402,CDIAC
AUT,1961,8.686,CDIAC
AUT,1962,9.243,CDIAC
AUT,1963,10.084,CDIAC
AUT,1964,10.616,CDIAC
AUT,1965,10.410,CDIAC
AUT,1966,10.701,CDIAC
AUT,1967,10.894,CDIAC
AUT,1968,11.544,CDIAC
AUT,1969,12.183,CDIAC
AUT,1970,13.819,CDIAC
AUT,1971,14.211,CDIAC
AUT,1972,15.303,CDIAC
AUT,1973,16.380,CDIAC
AUT,1974,15.637,CDIAC
AUT,1975,14.796,CDIAC
AUT,1976,15.885,CDIAC
AUT,1977,15.282,CDIAC
AUT,1978,15.619,CDIAC
AUT,1979,16.736,CDIAC
AUT,1980,14.199,CDIAC
AUT,1981,15.238,CDIAC
AUT,1982,14.620,CDIAC
AUT,1983,14.102,CDIAC
AUT,1984,14.797,CDIAC
AUT,1985,14.838,CDIAC
AUT,1986,14.664,CDIAC
AUT,1987,15.659,CDIAC
AUT,1988,14.448,CDIAC
AUT,1989,14.655,CDIAC
AUT,1990,17.009,UNFCCC
AUT,1991,17.994,UNFCCC
AUT,1992,16.496,UNFCCC
AUT,1993,16.596,UNFCCC
AUT,1994,16.703,UNFCCC
AUT,1995,17.540,UNFCCC
AUT,1996,18.475,UNFCCC
AUT,1997,18.413,UNFCCC
AUT,1998,18.304,UNFCCC
AUT,1999,17.941,UNFCCC
AUT,2000,18.098,UNFCCC
AUT,2001,19.180,UNFCCC
AUT,2002,19.684,UNFCCC
AUT,2003,21.233,UNFCCC
AUT,2004,21.267,UNFCCC
AUT,2005,21.669,UNFCCC
AUT,2006,21.032,UNFCCC
AUT,2007,20.324,UNFCCC
AUT,2008,20.122,UNFCCC
AUT,2009,18.484,UNFCCC
AUT,2010,19.713,UNFCCC
AUT,2011,19.144,UNFCCC
AUT,2012,18.444,UNFCCC
AUT,2013,18.603,UNFCCC
AUT,2014,17.595,UNFCCC
AUT,2015,18.213,UNFCCC
AUT,2016,18.372,UNFCCC
AUT,2017,19.099,UNFCCC
AUT,2018,18.796,BP
AZE,1959,5.391,CDIAC
AZE,1960,5.615,CDIAC
AZE,1961,5.796,CDIAC
AZE,1962,6.089,CDIAC
AZE,1963,6.537,CDIAC
AZE,1964,6.957,CDIAC
AZE,1965,7.382,CDIAC
AZE,1966,7.797,CDIAC
AZE,1967,8.158,CDIAC
AZE,1968,8.393,CDIAC
AZE,1969,8.744,CDIAC
AZE,1970,9.194,CDIAC
AZE,1971,9.762,CDIAC
AZE,1972,10.276,CDIAC
AZE,1973,10.715,CDIAC
AZE,1974,11.129,CDIAC
AZE,1975,11.703,CDIAC
AZE,1976,12.155,CDIAC
AZE,1977,12.570,CDIAC
AZE,1978,13.006,CDIAC
AZE,1979,13.115,CDIAC
AZE,1980,13.630,CDIAC
AZE,1981,13.379,CDIAC
AZE,1982,13.633,CDIAC
AZE,1983,13.829,CDIAC
AZE,1984,13.955,CDIAC
AZE,1985,15.047,CDIAC
AZE,1986,15.083,CDIAC
AZE,1987,15.024,CDIAC
AZE,1988,15.427,CDIAC
AZE,1989,15.086,CDIAC
AZE,1990,14.108,CDIAC
AZE,1991,13.906,CDIAC
AZE,1992,15.332,CDIAC
AZE,1993,13.212,CDIAC
AZE,1994,11.448,CDIAC
AZE,1995,9.091,CDIAC
AZE,1996,8.527,CDIAC
AZE,1997,8.134,CDIAC
AZE,1998,8.642,CDIAC
AZE,1999,7.798,CDIAC
AZE,2000,8.053,CDIAC
AZE,2001,7.858,CDIAC
AZE,2002,8.090,CDIAC
AZE,2003,8.359,CDIAC
AZE,2004,8.755,CDIAC
AZE,2005,9.358,CDIAC
AZE,2006,10.674,CDIAC
AZE,2007,8.313,CDIAC
AZE,2008,9.675,CDIAC
AZE,2009,8.694,CDIAC
AZE,2010,8.361,CDIAC
AZE,2011,9.000,CDIAC
AZE,2012,9.566,CDIAC
AZE,2013,9.565,CDIAC
AZE,2014,10.048,CDIAC
AZE,2015,10.118,CDIAC
AZE,2016,10.143,CDIAC
AZE,2017,10.003,BP
AZE,2018,10.040,BP
Africa,1959,40.350,CDIAC
Africa,1960,42.731,CDIAC
Africa,1961,44.212,CDIAC
Africa,1962,45.397,CDIAC
Africa,1963,48.126,CDIAC
Africa,1964,52.849,CDIAC
Africa,1965,58.306,CDIAC
Africa,1966,60.339,CDIAC
Africa,1967,64.696,CDIAC
Africa,1968,70.219,CDIAC
Africa,1969,75.850,CDIAC
Africa,1970,82.594,CDIAC
Africa,1971,90.579,CDIAC
Africa,1972,96.044,CDIAC
Africa,1973,103.182,CDIAC
Africa,1974,106.024,CDIAC
Africa,1975,105.728,CDIAC
Africa,1976,114.705,CDIAC
Africa,1977,118.210,CDIAC
Africa,1978,126.263,CDIAC
Africa,1979,136.238,CDIAC
Africa,1980,146.239,CDIAC
Africa,1981,149.764,CDIAC
Africa,1982,156.084,CDIAC
Africa,1983,162.311,CDIAC
Africa,1984,177.254,CDIAC
Africa,1985,181.735,CDIAC
Africa,1986,188.271,CDIAC
Africa,1987,188.274,CDIAC
Africa,1988,197.853,CDIAC
Africa,1989,190.524,CDIAC
Africa,1990,179.322,CDIAC
Africa,1991,187.234,CDIAC
Africa,1992,182.402,CDIAC
Africa,1993,193.475,CDIAC
Africa,1994,196.376,CDIAC
Africa,1995,210.551,CDIAC
Africa,1996,213.414,CDIAC
Africa,1997,221.534,CDIAC
Africa,1998,228.057,CDIAC
Africa,1999,225.929,CDIAC
Africa,2000,242.495,CDIAC
Africa,2001,240.759,CDIAC
Africa,2002,242.213,CDIAC
Africa,2003,262.989,CDIAC
Africa,2004,281.216,CDIAC
Africa,2005,286.091,CDIAC
Africa,2006,296.948,CDIAC
Africa,2007,308.612,CDIAC
Africa,2008,322.367,CDIAC
Africa,2009,325.425,CDIAC
Africa,2010,331.964,CDIAC
Africa,2011,340.242,CDIAC
Africa,2012,342.990,CDIAC
Africa,2013,347.481,CDIAC
Africa,2014,371.484,CDIAC
Africa,2015,363.053,CDIAC
