# Global Carbon Budget 2019 — National_Carbon_Emissions_2019v1.0.xlsx  — Emissions Transfers
#
# Emissions transfers (GCB)
# All values in million tonnes of carbon per year, except the per capita emissions which are in tonnes of carbon per person per year (tC/person/yr). For values in million tonnes of CO2 per year, multiply the values below by 3.664
# 1MtC = 1 million tonne of carbon = 3.664 million tonnes of CO2
# CIte as: Updated from Peters, GP, Minx, JC, Weber, CL and Edenhofer, O 2011. Growth in emission transfers via international trade from 1990 to 2008. Proceedings of the National Academy of Sciences 108, 8903-8908. http://www.pnas.org/content/108/21/8903.abstract
# For an explanation of issues around consumption emissions, see: Peters, GP, Davis, SJ and Andrew, R 2012. A synthesis of carbon in international trade. Biogeosciences, 9, 3247-3276. http://www.biogeosciences.net/9/3247/2012/bg-9-3247-2012.html
#
# MtC/yr
# Generated with openclimatedata 0.38.1 from the GCB Excel file 'National_Carbon_Emissions_2019v1.0.xlsx' from https://doi.org/10.18160/gcp-2019
# http://openclimatedata.net - https://github.com/openclimatedata/global-carbon-budget
Year,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,"Bonaire, Saint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czech Republic,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Macedonia (Republic of),Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,Occupied Palestinian Territory,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russian Federation,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Swaziland,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU28,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1990,,-0.028754084315510964,,,,,,2.0370302562452522,1.2082966340364236,,11.816246150382426,-5.51527614728699,5.274448155000377,,0.3789663993610839,-0.9135244221834831,,20.60276904400674,-7.308440625866247,,-0.07021478823858818,,,,,0.0,-7.466022149780635,,0.8131653146137733,5.5923051748603285,-0.0649379194060076,,-0.14453088001443548,-3.0496493528310253,,,,0.5782264675535131,36.71008277038868,-1.556517548419885,,,,-0.5457755328517322,-0.07843261806856971,0.7627070741772153,,,-0.3082793713939105,0.31849728912739295,,,-1.062838928446597,,,-0.1371281670835196,-0.1105558775994977,-2.5165453895770185,-0.3565675363939569,,,1.4417595216704413,-0.20243853843529425,,,,-3.283406391992365,-23.111050723169058,,,,2.8884441698782535,-29.552743017421335,-0.24235497738365486,-3.58848983997542,,,-0.300448312718558,0.0,,,,-0.10324295369589542,-13.62982298221852,-3.9258281491275255,,0.29793132011036505,-0.19804024103616769,,-2.1432367589900174,8.116438368010193,-3.2729377930084844,-31.26517569050351,0.17746823085971997,-41.037225362675144,-1.788133800261002,25.0209440760719,-0.5588196717579099,,,0.46025064831585816,0.8719315901345057,-0.0690525548389718,-0.8366788636568829,,,,,,-1.8415574413864864,0.0,,,-0.12486849357414076,-0.22562154928789005,-1.927701755128119,,,-0.19667322627327544,,,-0.354843022137528,-1.288396825423547,0.2285018360840203,,,-2.4857112818937885,-0.6487887318234062,,0.0,,-0.1099809080928443,-12.718633919658139,,-0.3106795192648306,-0.11174077245561276,,1.6518485131533929,,-0.5064860530020958,,-0.011574990701620269,-1.358715733230781,,0.055601928153966584,,-0.3741773986647562,-0.42681525706784385,-4.4322387871004025,0.14826768676349822,4.193674772150501,-2.1591917543785524,0.3955149487165617,-0.191964536491112,-19.32201545047394,,,,1.28253802924894,25.957239464027793,0.0,,,,,,10.413714023079947,-0.017357043299419228,,,,-6.191076469409014,-3.983953672182764,-0.09772215430462428,,,29.22656878241294,-8.429201433808757,-0.5972318090389208,,,,,,-5.602220697767674,-9.50301076036881,,-11.67604075600591,,-5.289801520785737,,-0.075003479261188,,1.064299049043008,-0.17073538770149943,-19.60110424091993,,,,-0.20522706505315505,86.4036228527549,-0.9544734992702661,-15.55748655854606,-0.35828871226178016,5.890449447164656,-0.30489758196005745,,,9.763552867268388,-0.3432184698808527,,,-0.31482154156142483,-1.243649992022493,-72.77234301353205,72.77234301353194,-232.95754817334452,232.99874714583012,-148.89660350490135,30.732579220496266,-18.984767910929307,-1.6264357721561025,-25.374123079305143,0.2060160763958816,1.3964603031794813,11.46789759181199,2.1839780476428388,0,0,0
1991,,-0.07637146145665419,,,,,,1.1818300992865574,1.4762754612874458,,12.723031942516542,-5.870762156237806,5.764027843865847,,0.14188183730347426,-1.1070808663357568,,19.25380805768578,-8.972641401662017,,-0.07199428013845982,,,,,0.0,-7.478294553860422,,0.6451646382764122,3.0851638509327834,-0.06368676828765349,,-0.150063388351927,-4.793611682130162,,,,0.4649013553218033,37.79556086394575,-1.4008654691941782,,,,-0.535596719824754,-0.2070588707196892,0.3279782831584894,,,-0.30644629937813406,-0.8565063920707274,,,-0.2622300333462526,,,-0.11078675803058502,-0.04236112752358334,-2.951653210877968,-0.3630548274334864,,,0.41551331152218474,-0.22019491164220895,,,,-5.9712105645075635,-25.89384252639418,,,,1.688245230046797,-36.85596109915741,-0.2528173306429464,-3.728509948258548,,,-0.3882934714073527,0.0,,,,-0.13011829332780112,-15.159660805196028,-5.0368227278808675,,1.0866883215646226,0.5526029885392134,,-2.2217663968933703,8.931703650317075,-3.573926443063275,-35.7072461238358,0.2119878446422998,-49.464135101557304,-1.5431285384584381,24.784146955093725,-0.6741021059452932,,,-2.042992383367551,0.24710095626666462,-0.07659025648196666,-1.2139425544117843,,,,,,-3.665507574655699,0.0,,,-0.13001418727727415,-0.23198995948938644,-1.3053805413086934,,,-0.2107338281055241,,,-0.37547115202528636,-1.5234826833280408,0.27177051533929486,,,-2.7379101061544615,-0.6606579922799414,,0.0,,-0.12067931069026294,-13.604872590225085,,-0.2486065805395592,-0.1434071811395623,,1.4985969831684969,,-1.3336115042690864,,-0.07610973114928665,-1.1312611378336435,,0.17929773992092124,,-0.38493672560435976,-0.46095268265975076,-5.129318880752827,0.16724579563709763,2.773300792143175,-2.4239590289184427,0.7814415413986762,-0.22732387204361018,-22.615172732862362,,,,-0.4430271378746511,100.98112659826495,0.0,,,,,,15.995357191265505,-0.014629720046745565,,,,-7.494428705232396,-3.26896125083589,-0.5408673057841953,,,29.94692255683858,-9.180427204611405,-0.651684941875631,,,,,,-6.640099380285255,-10.134400686668844,,-13.78422934666623,,-7.142927998492134,,-0.07662558433521799,,1.0199269606648644,-0.39060752166444246,-19.2824187480039,,,,-0.20790051754169853,73.91490371753571,-1.155373838468563,-18.03883153553005,-0.3771652834210508,2.8489141258837662,-0.2857289035961801,,,8.22788837567191,-0.31858045709040184,,,-0.34776186826736943,-1.3558886474469247,-59.4142797785849,59.41427977858558,-278.8192223014699,278.9310742134711,-184.313218823104,30.824516167287648,-35.25973152221837,-1.7061185460694146,-2.7505421149775513,0.26778493627049116,-3.6472415390394164,12.386619939366165,-0.11359041315448515,0,0,0
